node_id,role,timestamp,x,y,z
0,TAG,0.021883726119995117,3.543,5.603,0.34
0,TAG,0.032675981521606445,3.537,5.6,0.32
0,TAG,0.047629356384277344,3.538,5.596,0.366
0,TAG,0.047660112380981445,3.527,5.595,0.308
0,TAG,0.05837512016296387,3.545,5.589,0.332
0,TAG,0.06919527053833008,3.542,5.593,0.37
0,TAG,0.08011102676391602,3.524,5.594,0.273
0,TAG,0.09093070030212402,3.529,5.588,0.356
0,TAG,0.10180163383483887,3.516,5.588,0.307
0,TAG,0.11265802383422852,3.522,5.583,0.288
0,TAG,0.1275315284729004,3.519,5.581,0.36
0,TAG,0.12755346298217773,3.543,5.583,0.253
0,TAG,0.1383814811706543,3.546,5.577,0.298
0,TAG,0.1492011547088623,3.546,5.575,0.34
0,TAG,0.1600813865661621,3.535,5.58,0.232
0,TAG,0.17095136642456055,3.54,5.582,0.337
0,TAG,0.18177342414855957,3.542,5.578,0.363
0,TAG,0.1926436424255371,3.529,5.584,0.276
0,TAG,0.20758795738220215,3.53,5.592,0.4
0,TAG,0.20761775970458984,3.508,5.598,0.202
0,TAG,0.21835780143737793,3.489,5.586,0.232
0,TAG,0.22924208641052246,3.508,5.58,0.305
0,TAG,0.24013090133666992,3.515,5.593,0.312
0,TAG,0.25092411041259766,3.529,5.589,0.366
0,TAG,0.261796236038208,3.547,5.584,0.324
0,TAG,0.2726459503173828,3.528,5.591,0.155
0,TAG,0.2875645160675049,3.539,5.591,0.32
0,TAG,0.28758859634399414,3.527,5.587,0.284
0,TAG,0.298356294631958,3.511,5.597,0.246
0,TAG,0.30921053886413574,3.518,5.592,0.377
0,TAG,0.3201594352722168,3.513,5.602,0.279
0,TAG,0.3309478759765625,3.542,5.614,0.119
0,TAG,0.34178686141967773,3.577,5.624,0.083
0,TAG,0.35265207290649414,3.553,5.619,0.189
0,TAG,0.36751532554626465,3.585,5.625,0.116
0,TAG,0.3675386905670166,3.566,5.616,0.343
0,TAG,0.37836480140686035,3.54,5.619,0.272
0,TAG,0.38919830322265625,3.577,5.623,0.18
0,TAG,0.4000711441040039,3.562,5.613,0.274
0,TAG,0.4109194278717041,3.555,5.61,0.381
0,TAG,0.42176342010498047,3.6,5.618,0.144
0,TAG,0.432636022567749,3.605,5.628,0.089
0,TAG,0.44749975204467773,3.625,5.632,0.097
0,TAG,0.4475235939025879,3.637,5.625,0.111
0,TAG,0.4583549499511719,3.613,5.636,0.01
0,TAG,0.46919846534729004,3.638,5.635,0.131
0,TAG,0.48006367683410645,3.628,5.642,0.048
0,TAG,0.4909241199493408,3.634,5.648,0.144
0,TAG,0.5017797946929932,3.631,5.643,0.124
0,TAG,0.5126113891601562,3.623,5.636,0.04
0,TAG,0.5275087356567383,3.613,5.635,0.149
0,TAG,0.5275273323059082,3.608,5.625,0.121
0,TAG,0.5383141040802002,3.566,5.62,0.05
0,TAG,0.5492019653320312,3.598,5.619,0.206
0,TAG,0.5600640773773193,3.597,5.611,0.108
0,TAG,0.5709183216094971,3.567,5.617,0.149
0,TAG,0.5817737579345703,3.588,5.608,0.278
0,TAG,0.5926270484924316,3.597,5.609,0.149
0,TAG,0.6075093746185303,3.581,5.61,0.268
0,TAG,0.6075279712677002,3.574,5.602,0.158
0,TAG,0.6183462142944336,3.577,5.611,0.157
0,TAG,0.6292033195495605,3.572,5.609,0.233
0,TAG,0.6400642395019531,3.595,5.606,0.207
0,TAG,0.6509130001068115,3.569,5.62,0.157
0,TAG,0.661766529083252,3.574,5.611,0.24
0,TAG,0.6726140975952148,3.589,5.607,0.211
0,TAG,0.6874980926513672,3.579,5.619,0.244
0,TAG,0.687516450881958,3.587,5.608,0.179
0,TAG,0.6983389854431152,3.585,5.619,0.15
0,TAG,0.7092058658599854,3.584,5.615,0.211
0,TAG,0.7200496196746826,3.593,5.613,0.215
0,TAG,0.7309103012084961,3.575,5.621,0.169
0,TAG,0.7417728900909424,3.582,5.616,0.202
0,TAG,0.7526347637176514,3.59,5.605,0.27
0,TAG,0.7674901485443115,3.575,5.616,0.209
0,TAG,0.7675080299377441,3.581,5.614,0.241
0,TAG,0.778350830078125,3.583,5.619,0.291
0,TAG,0.7891991138458252,3.583,5.609,0.186
0,TAG,0.8000569343566895,3.584,5.613,0.292
0,TAG,0.8109571933746338,3.576,5.606,0.212
0,TAG,0.8217887878417969,3.573,5.601,0.239
0,TAG,0.8326332569122314,3.555,5.602,0.237
0,TAG,0.8475136756896973,3.557,5.609,0.215
0,TAG,0.8475332260131836,3.539,5.604,0.346
0,TAG,0.85837721824646,3.531,5.596,0.263
0,TAG,0.8691973686218262,3.522,5.594,0.097
0,TAG,0.8800439834594727,3.53,5.596,0.357
0,TAG,0.8909029960632324,3.546,5.592,0.276
0,TAG,0.901747465133667,3.535,5.594,0.19
0,TAG,0.9126319885253906,3.577,5.607,0.257
0,TAG,0.9275283813476562,3.565,5.604,-0.017
0,TAG,0.9275503158569336,3.575,5.61,0.103
0,TAG,0.9383749961853027,3.597,5.61,0.099
0,TAG,0.9492049217224121,3.605,5.635,-0.018
0,TAG,0.9600546360015869,3.647,5.636,0.122
0,TAG,0.9709055423736572,3.599,5.611,0.12
0,TAG,0.9817709922790527,3.643,5.631,-0.022
0,TAG,0.9925930500030518,3.656,5.636,-0.04
0,TAG,1.0074925422668457,3.624,5.628,0.202
0,TAG,1.0075113773345947,3.613,5.615,0.143
0,TAG,1.0183436870574951,3.6,5.61,0.316
0,TAG,1.0291838645935059,3.59,5.609,0.199
0,TAG,1.0400688648223877,3.581,5.607,0.311
