node_id,role,timestamp,x,y,z
0,TAG,0.021475791931152344,3.672,5.582,-0.637
0,TAG,0.02151775360107422,3.65,5.562,-0.559
0,TAG,0.036316871643066406,3.661,5.573,-0.524
0,TAG,0.04715442657470703,3.651,5.572,-0.565
0,TAG,0.05805039405822754,3.669,5.574,-0.597
0,TAG,0.0688636302947998,3.652,5.573,-0.668
0,TAG,0.07972431182861328,3.649,5.564,-0.615
0,TAG,0.0905756950378418,3.665,5.575,-0.613
0,TAG,0.10145330429077148,3.683,5.579,-0.517
0,TAG,0.1014857292175293,3.632,5.566,-0.592
0,TAG,0.11628389358520508,3.629,5.56,-0.675
0,TAG,0.12713098526000977,3.641,5.573,-0.634
0,TAG,0.13799476623535156,3.656,5.578,-0.538
0,TAG,0.1488349437713623,3.657,5.577,-0.531
0,TAG,0.15972232818603516,3.647,5.567,-0.622
0,TAG,0.1705305576324463,3.652,5.566,-0.56
0,TAG,0.18137598037719727,3.651,5.563,-0.51
0,TAG,0.1813950538635254,3.655,5.565,-0.552
0,TAG,0.1963651180267334,3.657,5.574,-0.627
0,TAG,0.20710062980651855,3.67,5.572,-0.535
0,TAG,0.21798944473266602,3.634,5.572,-0.574
0,TAG,0.22881603240966797,3.624,5.559,-0.647
0,TAG,0.23966646194458008,3.626,5.558,-0.607
0,TAG,0.2505185604095459,3.637,5.556,-0.495
0,TAG,0.2613539695739746,3.631,5.568,-0.545
0,TAG,0.26137375831604004,3.652,5.572,-0.544
0,TAG,0.2762632369995117,3.639,5.566,-0.542
0,TAG,0.2871053218841553,3.62,5.553,-0.561
0,TAG,0.29795360565185547,3.637,5.569,-0.556
0,TAG,0.30880236625671387,3.652,5.568,-0.469
0,TAG,0.319643497467041,3.658,5.577,-0.513
0,TAG,0.33050537109375,3.635,5.566,-0.567
0,TAG,0.3413527011871338,3.628,5.553,-0.547
0,TAG,0.3413715362548828,3.637,5.557,-0.587
0,TAG,0.35622668266296387,3.633,5.554,-0.428
0,TAG,0.36707067489624023,3.63,5.561,-0.518
0,TAG,0.3779716491699219,3.636,5.559,-0.557
0,TAG,0.3887917995452881,3.634,5.566,-0.576
0,TAG,0.39963722229003906,3.636,5.563,-0.462
0,TAG,0.41051220893859863,3.647,5.568,-0.595
0,TAG,0.4213247299194336,3.637,5.565,-0.564
0,TAG,0.4213540554046631,3.634,5.556,-0.51
0,TAG,0.43630051612854004,3.639,5.555,-0.569
0,TAG,0.447084903717041,3.646,5.571,-0.548
0,TAG,0.45794105529785156,3.638,5.58,-0.582
0,TAG,0.4687666893005371,3.628,5.564,-0.471
0,TAG,0.4796452522277832,3.615,5.571,-0.603
0,TAG,0.490509033203125,3.608,5.556,-0.522
0,TAG,0.501307487487793,3.603,5.57,-0.54
0,TAG,0.5013258457183838,3.61,5.559,-0.519
0,TAG,0.5162174701690674,3.62,5.571,-0.603
0,TAG,0.5270531177520752,3.619,5.565,-0.535
0,TAG,0.5379135608673096,3.609,5.559,-0.563
0,TAG,0.5487749576568604,3.615,5.557,-0.551
0,TAG,0.5595858097076416,3.62,5.558,-0.584
0,TAG,0.5704476833343506,3.632,5.556,-0.483
0,TAG,0.5812966823577881,3.647,5.572,-0.56
0,TAG,0.5813171863555908,3.643,5.564,-0.559
0,TAG,0.5962057113647461,3.645,5.566,-0.558
0,TAG,0.6070854663848877,3.641,5.563,-0.559
0,TAG,0.6178898811340332,3.634,5.569,-0.602
0,TAG,0.6287434101104736,3.634,5.574,-0.552
0,TAG,0.6395878791809082,3.634,5.567,-0.619
0,TAG,0.6504309177398682,3.636,5.57,-0.445
0,TAG,0.6612870693206787,3.645,5.569,-0.515
0,TAG,0.661318302154541,3.648,5.572,-0.519
0,TAG,0.6761832237243652,3.652,5.578,-0.605
0,TAG,0.6870410442352295,3.622,5.568,-0.567
0,TAG,0.697847843170166,3.634,5.572,-0.536
0,TAG,0.7087187767028809,3.644,5.576,-0.628
0,TAG,0.7195489406585693,3.667,5.579,-0.567
0,TAG,0.7304117679595947,3.644,5.576,-0.511
0,TAG,0.7412991523742676,3.632,5.559,-0.652
